Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0005999999999772854,0.0009000000000014552,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,118.41470000000004,163.71439999999996,space,45.25060000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,163.726,215,0,169.5471,215,s,5.793200000000013,,173.4977,173.997,172.99,173.4973,170.5539,172.9894,173.99739999999997,174.4975,174.49789999999996,187.18120000000005,129,187.18220000000002,1,188.18150000000003,0,0,0,18,1,1.4,0.7,Time
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,188.1836,175,0,188.18959999999998,175,,,,191.9728,192.46480000000003,191.4579,191.9724,189.1836,191.45750000000004,192.4649,192.96520000000004,192.96520000000004,196.52300000000002,144,196.5231,1,197.51439999999997,0,1,1,22,1,1.2,0.3,Time
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,197.5159,35,0,197.51639999999998,35,,,,201.48860000000002,201.9812,200.97320000000002,201.48829999999998,198.5312,200.97289999999998,201.98129999999998,202.4703,202.47039999999998,210.4538,7244,210.45439999999996,5,211.4475,0,2,2,8,1,1.4,0.7,Time
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,211.44820000000004,38,0,211.4486,38,,,,214.7996,215.29870000000005,214.29829999999998,214.79930000000002,212.46389999999997,214.298,215.29880000000003,215.79809999999998,215.7982,225.7645,845,225.76459999999997,4,226.76479999999998,0,3,3,15,1,0.8,0.7,Time
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,226.7658,228,0,226.76639999999998,228,,,,230.94009999999997,231.4314,230.43289999999996,230.93959999999998,227.76520000000005,230.4323,231.4314,231.9307,231.93079999999998,233.27300000000002,583,233.2731,1,234.26459999999997,0,4,4,24,1,1.6,0.3,Time
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,234.2661,109,0,234.2668,109,,,,237.83159999999998,238.3304,237.32300000000004,237.8311,235.28820000000002,237.32270000000005,238.3306,238.8318,238.832,241.49039999999997,1716,241.4905,5,242.48059999999998,0,5,5,6,1,1,0.7,Time
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,242.48160000000001,51,0,242.4821,51,,,,246.09859999999998,246.5978,245.5813,246.09820000000002,243.5047,245.58100000000002,246.59789999999998,247.0981,247.09820000000002,409.3317,4011,409.33199999999994,5,410.3303999999999,0,6,6,1,1,1,0.3,Time
,,txy,001,f,21,2025-06-03_14h32.48.895,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,410.33160000000004,198,0,410.3321,198,,,,413.93149999999986,414.4303999999999,413.41439999999983,413.93119999999993,411.3478999999999,413.4141999999999,414.4304999999999,414.9308999999999,414.93099999999987,431.21379999999994,2040,431.2138999999999,5,432.21379999999994,0,7,7,11,1,1,0.3,Time
